timestamp,target_timestamp,callback_time
144203.283333333,144203.300000000,144203.300526292
144203.300000000,144203.316666667,144203.317195667
144203.316666667,144203.333333333,144203.333870250
144203.333333333,144203.350000000,144203.350510792
144203.350000000,144203.366666667,144203.367165708
144203.366666667,144203.383333333,144203.383856667
144203.383333333,144203.400000000,144203.400527792
144203.400000000,144203.416666667,144203.417179417
144203.416666667,144203.433333333,144203.433844083
144203.433333333,144203.450000000,144203.450502917
144203.450000000,144203.466666667,144203.467182667
144203.466666667,144203.483333333,144203.483851250
144203.483333333,144203.500000000,144203.500509833
144203.500000000,144203.516666667,144203.517196083
144203.516666667,144203.533333333,144203.533873583
144203.533333333,144203.550000000,144203.550487833
144203.550000000,144203.566666667,144203.567180958
144203.566666667,144203.583333333,144203.583814958
144203.583333333,144203.600000000,144203.600503958
144203.600000000,144203.616666667,144203.617213958
144203.616666667,144203.633333333,144203.633841167
144203.633333333,144203.650000000,144203.650554542
144203.650000000,144203.666666667,144203.667254542
144203.666666667,144203.683333333,144203.683933083
144203.683333333,144203.700000000,144203.700499750
144203.700000000,144203.716666667,144203.717216542
144203.716666667,144203.733333333,144203.733878500
144203.733333333,144203.750000000,144203.750509167
144203.750000000,144203.766666667,144203.767258750
144203.766666667,144203.783333333,144203.783871333
144203.783333333,144203.800000000,144203.800499625
144203.800000000,144203.816666667,144203.817161625
144203.816666667,144203.833333333,144203.833829875
144203.833333333,144203.850000000,144203.850497167
144203.850000000,144203.866666667,144203.867173958
144203.866666667,144203.883333333,144203.883809000
144203.883333333,144203.900000000,144203.900493042
144203.900000000,144203.916666667,144203.917165625
144203.916666667,144203.933333333,144203.933820375
144203.933333333,144203.950000000,144203.950516208
144203.950000000,144203.966666667,144203.967216458
144203.966666667,144203.983333333,144203.983857458
144203.983333333,144204.000000000,144204.000526500
144204.000000000,144204.016666667,144204.017203792
144204.016666667,144204.033333333,144204.033875708
144204.033333333,144204.050000000,144204.050484750
144204.050000000,144204.066666667,144204.067155542
144204.066666667,144204.083333333,144204.083816958
144204.083333333,144204.100000000,144204.100492208
144204.100000000,144204.116666667,144204.117179500
144204.116666667,144204.133333333,144204.133820250
144204.133333333,144204.150000000,144204.150481250
144204.150000000,144204.166666667,144204.167150417
144204.166666667,144204.183333333,144204.183833125
144204.183333333,144204.200000000,144204.200501167
144204.200000000,144204.216666667,144204.217156750
144204.216666667,144204.233333333,144204.233831708
144204.233333333,144204.250000000,144204.250485500
144204.250000000,144204.266666667,144204.267145375
144204.266666667,144204.283333333,144204.283826667
144204.283333333,144204.300000000,144204.300479625
144204.300000000,144204.316666667,144204.317155708
144204.316666667,144204.333333333,144204.333813875
144204.333333333,144204.350000000,144204.350484000
144204.350000000,144204.366666667,144204.367148583
144204.366666667,144204.383333333,144204.383828667
144204.383333333,144204.400000000,144204.400515250
144204.400000000,144204.416666667,144204.417182708
144204.416666667,144204.433333333,144204.433818958
144204.433333333,144204.450000000,144204.450535917
144204.450000000,144204.466666667,144204.467220750
144204.466666667,144204.483333333,144204.483853458
144204.483333333,144204.500000000,144204.500513083
144204.500000000,144204.516666667,144204.519266917
144204.516666667,144204.533333333,144204.533814542
144204.533333333,144204.550000000,144204.550476875
144204.550000000,144204.566666667,144204.567153417
144204.566666667,144204.583333333,144204.583826583
144204.583333333,144204.600000000,144204.600491417
144204.600000000,144204.616666667,144204.617158125
144204.616666667,144204.633333333,144204.633830292
144204.633333333,144204.650000000,144204.650492500
144204.650000000,144204.666666667,144204.667172583
144204.666666667,144204.683333333,144204.683841792
144204.683333333,144204.700000000,144204.700569167
144204.700000000,144204.716666667,144204.717172333
144204.716666667,144204.733333333,144204.733854500
144204.733333333,144204.750000000,144204.750508417
144204.750000000,144204.766666667,144204.767159167
144204.766666667,144204.783333333,144204.783852625
144204.783333333,144204.800000000,144204.800521875
144204.800000000,144204.816666667,144204.817182500
144204.816666667,144204.833333333,144204.833833500
144204.833333333,144204.850000000,144204.850508542
144204.850000000,144204.866666667,144204.867187542
144204.866666667,144204.883333333,144204.883848333
144204.883333333,144204.900000000,144204.900481167
144204.900000000,144204.916666667,144204.917164375
144204.916666667,144204.933333333,144204.933808292
144204.933333333,144204.950000000,144204.950479292
144204.950000000,144204.966666667,144204.967145500
144204.966666667,144204.983333333,144204.983821500
144204.983333333,144205.000000000,144205.000510875
144205.000000000,144205.016666667,144205.017169708
144205.016666667,144205.033333333,144205.033860833
144205.033333333,144205.050000000,144205.050504292
144205.050000000,144205.066666667,144205.067190083
144205.066666667,144205.083333333,144205.083825833
144205.083333333,144205.100000000,144205.100515708
144205.100000000,144205.116666667,144205.117181333
144205.116666667,144205.133333333,144205.133847542
144205.133333333,144205.150000000,144205.150517708
144205.150000000,144205.166666667,144205.167202292
144205.166666667,144205.183333333,144205.183869167
144205.183333333,144205.200000000,144205.200494625
144205.200000000,144205.216666667,144205.217154875
144205.216666667,144205.233333333,144205.233833667
144205.233333333,144205.250000000,144205.250490375
144205.250000000,144205.266666667,144205.267190833
144205.266666667,144205.283333333,144205.283841375
144205.283333333,144205.300000000,144205.300513667
144205.300000000,144205.316666667,144205.317169958
144205.316666667,144205.333333333,144205.333809708
144205.333333333,144205.350000000,144205.350494667
144205.350000000,144205.366666667,144205.367142042
144205.366666667,144205.383333333,144205.383796417
144205.383333333,144205.400000000,144205.400474792
144205.400000000,144205.416666667,144205.417133625
144205.416666667,144205.433333333,144205.434246542
144205.433333333,144205.450000000,144205.450512958
144205.450000000,144205.466666667,144205.467131125
144205.466666667,144205.483333333,144205.483795833
144205.483333333,144205.500000000,144205.500477625
144205.500000000,144205.516666667,144205.517138167
144205.516666667,144205.533333333,144205.533806083
144205.533333333,144205.550000000,144205.550464250
144205.550000000,144205.566666667,144205.567151750
144205.566666667,144205.583333333,144205.583821875
144205.583333333,144205.600000000,144205.600470792
144205.600000000,144205.616666667,144205.617134958
144205.616666667,144205.633333333,144205.633799500
144205.633333333,144205.650000000,144205.650470500
144205.650000000,144205.666666667,144205.667132125
144205.666666667,144205.683333333,144205.683801375
144205.683333333,144205.700000000,144205.700471958
144205.700000000,144205.716666667,144205.717132417
144205.716666667,144205.733333333,144205.733808458
144205.733333333,144205.750000000,144205.750463750
144205.750000000,144205.766666667,144205.767135958
144205.766666667,144205.783333333,144205.783797833
144205.783333333,144205.800000000,144205.800468500
144205.800000000,144205.816666667,144205.817142833
144205.816666667,144205.833333333,144205.833809000
144205.833333333,144205.850000000,144205.850468833
144205.850000000,144205.866666667,144205.867127708
144205.866666667,144205.883333333,144205.883804958
144205.883333333,144205.900000000,144205.900458375
144205.900000000,144205.916666667,144205.917145125
144205.916666667,144205.933333333,144205.933797042
144205.933333333,144205.950000000,144205.950475000
144205.950000000,144205.966666667,144205.967133167
144205.966666667,144205.983333333,144205.983807417
144205.983333333,144206.000000000,144206.000497583
144206.000000000,144206.016666667,144206.017138167
144206.016666667,144206.033333333,144206.033829167
144206.033333333,144206.050000000,144206.050523167
144206.050000000,144206.066666667,144206.067159333
144206.066666667,144206.083333333,144206.083818333
144206.083333333,144206.100000000,144206.100486000
144206.100000000,144206.116666667,144206.117156625
144206.116666667,144206.133333333,144206.133828333
144206.133333333,144206.150000000,144206.150516625
144206.150000000,144206.166666667,144206.167146792
144206.166666667,144206.183333333,144206.183816792
144206.183333333,144206.200000000,144206.200488958
144206.200000000,144206.216666667,144206.217180167
144206.216666667,144206.233333333,144206.233846292
144206.233333333,144206.250000000,144206.250497167
144206.250000000,144206.266666667,144206.267159000
144206.266666667,144206.283333333,144206.283853583
144206.283333333,144206.300000000,144206.300505375
144206.300000000,144206.316666667,144206.317178125
144206.316666667,144206.333333333,144206.333856000
144206.333333333,144206.350000000,144206.350489333
144206.350000000,144206.366666667,144206.367183000
144206.366666667,144206.383333333,144206.383830292
